FAI_CAATS_PROJ_NUM,FMS_TASK_NUM,FMS_OBLIG_NUM,IFAMS_PROJECT_CODE,IFAMS_PROJECT_NAME,IFAMS_PROJECT_SHORT_NAME,IFAMS_PROJECT_INITIATIVE_CODE,IFAMS_PROJECT_INITIATIVE_CODE,IFAMS_PROJECT_TASK_CODE,IFAMS_PROJECT_TASK_NAME,IFAMS_SUB_PROJECT,LOAD_DATE
9128-000007,912-NRM18-01,912J85005,NRM912180001,Construct Slope Stabilization,ConstrSlpStb,NRM,Nonrecurring Maintenance,,,,
9128-000017,912-NRM18-21,912J85007,NRM912180021,Electrical & roof work at maintenance bldg,MaintBldg,NRM,Nonrecurring Maintenance,,,,
913P80142,913-NRM-FY18-010,Purchase card,NRM913180010,Topo Survey  Tullie Diversion,TopSurveyTul,NRM,Nonrecurring Maintenance,,,,
9139-000009,913-NRM-FY19-007,913J95012,NRM913190007,Seal Roads,SealRds,NRM,Nonrecurring Maintenance,,,,
9168-000020,916-18-202,916J85016,NRM916180202,"Site - Maint. Bldg, Yard Trench Drain (South)",SiteMtcBldg,NRM,Nonrecurring Maintenance,,,,
9168-000009,916-18-203,916J85013,NRM916180203,Site-Concrete Road Maint. (West) and Sidewalk Replacements,SitConcrtMtc,NRM,Nonrecurring Maintenance,,,,
9198-000016,919-NRM-FY18-006,VA919J85022,NRM919180006,Replace Skylights,ReplSkylight,NRM,Nonrecurring Maintenance,,,,
9199-000019,919-NRM-FY19-006,919J95022,NRM919190006,Slurry Seal Roads & Mill/overlay Staff Lot,SealRds,NRM,Nonrecurring Maintenance,,,,
9208-000008,920-18-201,920J85004,NRM920180201,"Site - Reseal Roads, Phs 1",SiteRsealRds,NRM,Nonrecurring Maintenance,,,,
9209-000003,920-19-201,920J95002,NRM920190001,Irr - Replace Isolation Valves (in road),RplIsoVlv,NRM,Nonrecurring Maintenance,,,,
9209-000002,920-19-202,920J95003,NRM920190002,"Site - Reseal Roads, Phs 2",SiteRsealRds,NRM,Nonrecurring Maintenance,,,,
9228-000018,922-NRM18-0010,922J85006,NRM922180010,Replace Flower Watering Station,RplFlwerWat,NRM,Nonrecurring Maintenance,,,,
9229-000003,922-NRM19-0011,922J95002,NRM922190011,Replace main fire alarm control panel in Admin,RplAdminBlg,NRM,Nonrecurring Maintenance,,,,
9229-000004,922-NRM19-0014,922J95003,NRM922190014,Replace MTS for generator with an ATS,RplMTSGen,NRM,Nonrecurring Maintenance,,,,
9238-000017,923-18-109,923J85017,NRM923180109,Replace Rdige Vent - All Bldgs,RepRdigeVent,NRM,Nonrecurring Maintenance,,,,
